localizacao,genero,data
"Alabama, United States",Male,**/01/1987
"Porto, Portugal",Male,**/11/2007
"Kalmar, Sweden",Male,**/06/1984
"Västmanland, Sweden",Female,**/**/1983
"Bretagne, France",Female,**/11/1990
"Ohio, United States",Female,**/07/1981
"Poitou-Charentes, France",Female,**/03/1989
"Tamaulipas, Mexico",Male,**/05/1990
"Oklahoma, United States",Male,**/**/1992
France,Female,**/01/2007
"Florida, United States",Male,**/01/2007
"Värmland, Sweden",Male,**/03/1995
"Uppsala, Uppsala, Sweden",Female,**/**/1996
"Södermanland, Sweden",Female,**/**/2002
"Kentucky, United States",Female,**/11/1980
"Stockholm, Sweden",Female,**/05/1985
"Manitoba, Canada",Male,**/**/2009
"Alabama, United States",Female,**/05/1983
"Veracruz Llave, Mexico",Male,**/11/2004
"Dalarna, Sweden",Female,**/**/2000
"Kalmar, Sweden",Female,**/02/1996
"Texas, United States",Male,**/**/1999
"England, United Kingdom",Male,**/**/1992
France,Male,**/**/2002
"Nantes, Pays de la Loire, France",Female,**/11/1990
"Västernorrland, Sweden",Male,**/10/1981
"Göteborg, Västra Götaland, Sweden",Male,**/**/2000
Portugal,Male,**/**/1999
"Besançon, Franche-Comté, France",Male,**/**/1994
"Stockholm, Sweden",Female,**/08/1999
"Lindavista, Veracruz Llave, Mexico",Female,**/**/2000
"Bretagne, France",Male,**/**/1992
"Porto, Portugal",Female,**/**/1996
"Skåne, Sweden",Female,**/09/1999
"Göteborg, Västra Götaland, Sweden",Male,**/**/1997
"Castelo Branco, Portugal",Female,**/04/1981
"Setúbal, Portugal",Male,**/**/2000
"Porto, Portugal",Female,**/**/1981
"Kentucky, United States",Female,**/10/1993
"Aveiro, Portugal",Male,**/**/1999
"Viana do Castelo, Portugal",Female,**/**/2005
"Vila Real, Portugal",Female,**/08/1981
"Skåne, Sweden",Female,**/06/2004
"Stockholm, Sweden",Female,**/**/2000
"Vila Real, Portugal",Female,**/**/2008
"Braga, Portugal",Male,**/**/1997
"Santarém, Portugal",Female,**/01/1981
"Île-de-France, France",Female,**/**/2004
"Centre, France",Male,**/**/2010
Sweden,Female,**/**/1985
"British Columbia, Canada",Female,**/07/2001
"Colorado, United States",Female,**/**/2009
"Lisboa, Portugal",Female,**/**/1995
"Stockholm, Sweden",Male,**/07/2000
"Coimbra, Portugal",Female,**/**/1988
"San Francisco, San Luis Potosi, Mexico",Female,**/**/1993
"Leiria, Portugal",Male,**/09/1988
"Missouri, United States",Female,**/02/2010
"Castelo Branco, Portugal",Female,**/07/1996
"Nantes, Pays de la Loire, France",Female,**/**/2004
Portugal,Female,**/10/1997
"Colorado, United States",Male,**/07/2007
"Aveiro, Portugal",Male,**/05/1995
"Chiapas, Mexico",Female,**/**/2001
"Bourgogne, France",Male,**/02/1989
"Ilha de São Miguel, Portugal",Female,**/07/1988
"Porto, Portugal",Male,**/06/1984
"Pennsylvania, United States",Female,**/**/1988
"Île-de-France, France",Female,**/10/1997
Mexico,Male,**/**/1990
"Bretagne, France",Male,**/**/1998
"Oaxaca, Mexico",Male,**/**/2008
"Nantes, Pays de la Loire, France",Female,**/05/2007
"Tulsa, Oklahoma, United States",Female,**/**/2007
"Ontario, Canada",Female,**/**/1990
"West Virginia, United States",Female,**/06/2010
"Viseu, Portugal",Male,**/01/1987
"California, United States",Female,**/07/2000
"Saskatchewan, Canada",Male,**/**/1998
"Manitoba, Canada",Female,**/01/2007
"Oaxaca, Mexico",Female,**/**/2009
"Igreja, Ilha da Madeira, Portugal",Male,**/03/1994
"Göteborg, Västra Götaland, Sweden",Male,**/08/1999
"British Columbia, Canada",Female,**/**/1987
"Vila Real, Portugal",Male,**/05/1999
"Île-de-France, France",Male,**/05/2008
"Örebro, Sweden",Female,**/09/1988
"Aveiro, Portugal",Male,**/**/1997
"Manitoba, Canada",Female,**/07/2004
"Jalisco, Mexico",Female,**/**/1984
"Lorraine, France",Female,**/**/1983
"Nantes, Pays de la Loire, France",Male,**/**/2004
United States,Female,**/**/2000
"Viseu, Portugal",Female,**/10/1980
"Jönköping, Sweden",Male,**/02/2010
"Västra Götaland, Sweden",Male,**/**/1996
"Lorraine, France",Female,**/03/2010
"Ilha de São Miguel, Portugal",Male,**/12/1995
"Stockholm, Sweden",Female,**/**/2009
"Setúbal, Portugal",Male,**/**/2000
"Provence-Alpes-Côte d'Azur, France",Female,**/**/1993
"Stockholm, Sweden",Female,**/05/2005
"Västernorrland, Sweden",Male,**/03/2004
"Norrbotten, Sweden",Male,**/**/1981
"Newfoundland and Labrador, Canada",Female,**/06/1984
"Emiliano Zapata, Michoacan De Ocampo, Mexico",Male,**/09/1994
"Lisboa, Portugal",Male,**/01/1983
"Braga, Portugal",Male,**/**/2003
"Québec, Canada",Female,**/11/1995
"Västerbotten, Sweden",Female,**/07/2000
"Porto, Portugal",Female,**/**/1985
"Île-de-France, France",Female,**/01/1994
"Guerrero, Mexico",Female,**/**/2001
"Québec, Canada",Male,**/12/1990
Mexico,Male,**/**/1997
"Manitoba, Canada",Male,**/07/1993
"Stockholm, Sweden",Male,**/**/1983
"Veracruz Llave, Mexico",Female,**/**/1981
"Leiria, Portugal",Female,**/**/2003
"Braga, Portugal",Male,**/**/1984
"Porto, Portugal",Female,**/**/2002
"Santarém, Portugal",Male,**/03/2003
"Viana do Castelo, Portugal",Female,**/06/1984
"Lisboa, Portugal",Male,**/10/1980
"Ohio, United States",Female,**/**/1998
"Aveiro, Portugal",Male,**/01/1981
"Colorado, United States",Male,**/**/2001
"Manitoba, Canada",Male,**/11/2004
"Centre, France",Male,**/07/1988
"Lisboa, Portugal",Male,**/05/2007
Portugal,Female,**/**/2000
"Île-de-France, France",Male,**/01/1994
"Östergötland, Sweden",Female,**/10/1994
"Västra Götaland, Sweden",Female,**/**/1993
"Uppsala, Uppsala, Sweden",Female,**/**/2008
"Stockholm, Stockholm, Sweden",Male,**/06/1999
France,Female,**/02/2002
Sweden,Female,**/**/1994
"Lisboa, Portugal",Male,**/02/1996
"Västra Götaland, Sweden",Female,**/08/2008
"Marseille, Provence-Alpes-Côte d'Azur, France",Female,**/**/1985
Mexico,Male,**/02/1991
Sweden,Male,**/04/2000
"Québec, Canada",Female,**/02/1997
"Porto, Portugal",Female,**/**/2009
"Dalarna, Sweden",Male,**/08/1988
"Coimbra, Portugal",Male,**/12/1984
"Lisboa, Portugal",Female,**/08/1981
"Viseu, Portugal",Male,**/11/1984
"Île-de-France, France",Female,**/09/1993
"Bourgogne, France",Male,**/**/2004
"Québec, Canada",Female,**/**/1993
"Coahuila De Zaragoza, Mexico",Female,**/06/1996
"Francisco Villa, Veracruz Llave, Mexico",Male,**/**/1999
"Norrbotten, Sweden",Male,**/**/2006
"Viana do Castelo, Portugal",Male,**/**/1990
"Chiapas, Mexico",Female,**/09/1989
Mexico,Male,**/03/2008
"Aquitaine, France",Male,**/**/2001
"Newfoundland and Labrador, Canada",Female,**/07/1985
"Skåne, Sweden",Female,**/03/1982
"Tulsa, Oklahoma, United States",Male,**/05/2005
"Västernorrland, Sweden",Female,**/**/1984
"Ontario, Canada",Male,**/03/1995
"Braga, Portugal",Female,**/**/2001
"Viana do Castelo, Portugal",Female,**/**/1990
"Santarém, Portugal",Male,**/05/1990
"Västmanland, Sweden",Female,**/08/2003
"Francisco Villa, Veracruz Llave, Mexico",Male,**/05/2003
Mexico,Male,**/08/1994
"Porto, Portugal",Male,**/05/1995
"Setúbal, Portugal",Male,**/10/1985
"Aquitaine, France",Male,**/12/1990
"Colorado, United States",Female,**/**/2009
"Aveiro, Portugal",Male,**/**/2002
"Västra Götaland, Sweden",Female,**/12/1984
"Bragança, Portugal",Male,**/02/2002
"Ontario, Canada",Male,**/09/2005
"Île-de-France, France",Male,**/**/2006
"Täby, Stockholm, Sweden",Female,**/**/2003
"Porto, Portugal",Female,**/**/1996
"Tulsa, Oklahoma, United States",Male,**/05/2004
"Eskilstuna, Södermanland, Sweden",Male,**/05/1990
"Braga, Portugal",Female,**/**/1983
"Aquitaine, France",Male,**/08/2008
"Östergötland, Sweden",Male,**/**/2007
"Île-de-France, France",Male,**/**/1995
"Viana do Castelo, Portugal",Female,**/**/2002
"Florida, United States",Female,**/08/1989
United States,Female,**/**/2000
"Île-de-France, France",Female,**/**/2007
"Ontario, Canada",Female,**/**/1993
"Porto, Portugal",Female,**/**/1988
"Igreja, Viseu, Portugal",Female,**/**/1987
"Ohio, United States",Male,**/05/1999
"Ontario, Canada",Female,**/**/1997
"Västmanland, Sweden",Male,**/**/1990
"Florida, United States",Male,**/**/2008
"Veracruz Llave, Mexico",Male,**/09/1994
"Stockholm, Sweden",Male,**/03/1989
"Marseille, Provence-Alpes-Côte d'Azur, France",Female,**/07/1981
"Nord-Pas-de-Calais, France",Male,**/**/2001
"Göteborg, Västra Götaland, Sweden",Female,**/03/1994
"Västra Götaland, Sweden",Female,**/02/1997
"Québec, Canada",Female,**/**/1982
"Basse-Normandie, France",Female,**/01/1987
"Lisboa, Portugal",Male,**/08/2003
"Pays de la Loire, France",Female,**/**/1992
"Languedoc-Roussillon, France",Female,**/**/2006
"Bretagne, France",Male,**/06/2009
Canada,Female,**/**/2006
"Île-de-France, France",Female,**/04/1981
"Viana do Castelo, Portugal",Female,**/**/1984
"Île-de-France, France",Male,**/**/1993
United States,Female,**/**/1988
"San Antonio, Texas, United States",Male,**/02/1981
"Veracruz Llave, Mexico",Female,**/10/1993
"Aveiro, Portugal",Male,**/**/2005
"Saskatchewan, Canada",Male,**/10/1994
United States,Female,**/**/1991
"Aquitaine, France",Female,**/03/1995
"Västra Götaland, Sweden",Female,**/**/1996
"Virginia, United States",Female,**/07/1993
"Lisboa, Portugal",Male,**/02/1991
"Manitoba, Canada",Female,**/05/1998
"Île-de-France, France",Male,**/06/1984
"Ilha de São Miguel, Portugal",Male,**/**/1984
"Île-de-France, France",Male,**/**/1989
"Västra Götaland, Sweden",Male,**/**/2009
"Basse-Normandie, France",Female,**/09/1989
"Saskatchewan, Canada",Female,**/**/1983
"Île-de-France, France",Female,**/04/1981
"Setúbal, Portugal",Female,**/12/1996
"Québec, Canada",Male,**/06/1985
"Aveiro, Portugal",Female,**/**/2005
"Île-de-France, France",Male,**/**/1987
"England, United Kingdom",Female,**/**/1996
"Lorraine, France",Male,**/10/2003
"Porto, Portugal",Male,**/06/1985
"Skåne, Sweden",Male,**/06/2010
"Alberta, Canada",Male,**/**/2007
"Kalmar, Sweden",Male,**/01/1998
"Västra Götaland, Sweden",Female,**/**/2002
"Porto, Portugal",Female,**/**/2005
United States,Female,**/11/2005
"Jalisco, Mexico",Male,**/**/1986
"Östergötland, Sweden",Female,**/07/2000
"Uppsala, Uppsala, Sweden",Male,**/03/2008
"Ontario, Canada",Male,**/**/2005
"Leiria, Portugal",Female,**/**/2005
"Braga, Portugal",Male,**/10/1997
"Connecticut, United States",Female,**/**/1991
"Michigan, United States",Male,**/**/1986
"California, United States",Female,**/04/2001
"Stockholm, Stockholm, Sweden",Female,**/04/1995
United States,Male,**/**/1984
"Skåne, Sweden",Male,**/04/1999
"Leiria, Portugal",Male,**/**/1987
"Ilha de São Miguel, Portugal",Male,**/**/2000
"Île-de-France, France",Female,**/**/1990
"Stockholm, Stockholm, Sweden",Female,**/05/1994
"Nord-Pas-de-Calais, France",Male,**/08/2008
"British Columbia, Canada",Female,**/**/1994
"Stockholm, Sweden",Female,**/**/1986
"Alabama, United States",Male,**/**/1993
"Île-de-France, France",Male,**/**/2006
"Braga, Portugal",Male,**/10/1981
"Vila Real, Portugal",Female,**/**/2006
"Québec, Canada",Male,**/**/2002
"Viana do Castelo, Portugal",Male,**/**/1993
"Stockholm, Sweden",Female,**/11/1981
"Viseu, Portugal",Female,**/**/1992
United Kingdom,Female,**/**/2008
"Alberta, Canada",Male,**/09/2003
Portugal,Female,**/06/1985
"Ohio, United States",Female,**/08/1989
"California, United States",Female,**/12/1990
United States,Female,**/04/1989
"Emiliano Zapata, Sinaloa, Mexico",Male,**/06/2004
"Södermanland, Sweden",Male,**/03/2004
"Viseu, Portugal",Female,**/10/1994
"Michigan, United States",Male,**/**/1999
"Braga, Portugal",Male,**/**/2001
"New York, United States",Female,**/07/1981
"Rhône-Alpes, France",Female,**/06/1996
"Francisco Villa, Durango, Mexico",Male,**/**/1999
"Saskatchewan, Canada",Male,**/**/1988
